原	厂 泉
厡	厂 泉
厤	厂 秝
厥	厂 欮
厧	厂 真
厪	厂 堇
厫	厂 敖
厬	厂 晷
厌	厂 犬
厯	厂 林 乚 丶 丶
厰	厂 敞
厉	厂 万
严	亚 丿
厣	厂 犬 甲
厵	原 原 原
厶	𠃊 丶
厷	一 丿 厶
厸	厶 厶
厹	九 厶
厺	大 厶
去	土 厶
厽	厶 厶 厶
厾	乁 去
叀	一 由 厶
参	厶 大 彡
叁	厶 大 三
叅	厽 人 小 丶
叉	又 丶
及	乃 乀
友	一 丿 又
反	厂 又
収	丩 又
叏	乛 支
叐	丿 友
叒	又 又 又
叓	支 口
叔	尗 又
叕	又 又 又 又
取	耳 又
受	爫 冖 又
叚	尸 二 又
叛	半 反
叜	灾 又
叝	去 及
叞	尸 示 又
叟	臼 丨 又
叡	睿 又
丛	从 一
口	冂 一
古	十 口
句	勹 口
另	口 力
叧	口 刀
叨	口 刀
叩	口 卩
只	口 八
叫	口 丩
召	刀 口
叭	口 八
叮	口 丁
可	丁 口
台	厶 口
叱	口 匕
史	口 乂
右	一 丿 口
叴	九 口
叵	匚 口
司	㇆ 一 口
叺	口 入
叻	口 力
叼	口 刁
叿	口 工
吀	口 千
吁	口 于
吂	亡 口
吃	口 乞
各	夂 口
吅	口 口
吆	口 幺
吇	口 子
合	人 一 口
吉	士 口
吋	口 寸
同	冂 一 口
名	夕 口
后	厂 一 口
吏	一 口 丿 乀
吐	口 土
向	丶 冂 口
咤	口 宅 吒
吓	口 下
吔	口 也
吖	口 丫
吘	口 午
吙	口 火
吚	口 尹
君	尹 口
吜	口 丑
吝	文 口
吞	天 口
吟	口 今
吠	口 犬
吡	口 比
吢	心 口
吣	口 心
吤	口 介
吥	口 不
否	不 口
吧	口 巴
吩	口 分
吪	口 化
含	今 口
吭	口 亢
吮	口 允
吰	口 厷
吱	口 支
吲	口 引
吴	口 天
吵	口 少
呐	口 内
吷	口 夬
吸	口 及
吹	口 欠
吺	口 殳
吻	口 勿
吼	口 孔
吽	口 牛
吾	五 口
吿	牛 口
呀	口 牙
呁	口 勻
吕	口 口
呃	口 厄
呄	乃 古
呅	口 文
呆	口 木
呇	水 口
呈	口 王
吴	口 天
告	牛 口
呋	口 夫
呌	口 斗
呍	口 云
呎	口 尺
呏	口 升
吞	天 口
呔	口 太
呝	口 戹
呞	口 司
呟	口 玄
呠	口 本
呡	口 民
呢	口 尼
呤	口 令
呥	口 冉
呦	口 幼
呧	口 氐
周	冂 土 口
呩	口 示
呪	口 兄
呫	口 占
呬	口 四
呭	口 世
呮	口 只
呯	口 平
呰	此 口
呱	口 瓜
呲	口 此
味	口 未
呴	口 句
呵	口 可
呶	口 奴
